address,times of input,sum of btc
1JG3yXc8YCVMMETjDGAMEpEMuBTB1LAeGf,1,0.0
1DYuVC1VrhXrSL7RBHn12JMsfwDJW8aoeY,1,3.99
12DCNv26T8SYPiwLrC3CqbqQneY4bXsXK7,1,0.7
15i46TPesHewE5HVurH3LrZhpetBqPhCq5,1,0.01
1DwvMm555xPMUYebypAwKMc9jFCbfiZzSy,1,1.44
33KQppygjtwoumDSWQhZihDzDwqz56Eifw,1,0.0
3EA7GKEUgFMQpcA24QFTrpL1tvLFHJhYfb,1,0.05
1HLr7cwEstrMcgvobhsDMcRBsuAPg1TGKd,1,0.06
329HEUvTiXv5ihwF8qmQQWZQTZy4ShSBaW,1,0.01
33cyTvSn7VkvJbT9fKeD1dYBM3wAagSA5S,1,0.0
1J1jBNpnGRvyQ4QevofTbjXvWPB6RYnc19,1,0.19
1AYieAKQed9UbebqSDbWaN6BWwoAGExpH3,1,0.81
3KTx31NrNDgN48dDrDDL1qyQDAyY1W8vnL,1,0.99
3BMEXND8t1CzU2vZit2YEBenyYJfvM7HEi,1,0.08
1KpNcNtUxLyfgYMYNBDrt6tvwcQpnQXnLd,1,0.22
1MAZGLti2hC9vn28dzr25b4yh9aKwYTB7c,1,1.99
1CPYcT68D8LiriT6LmUZwbzL7c8B5xahAk,1,0.0
1EEW42aia91oPY7pSrCTpB5m65PqUvdMNL,1,0.1
1BpNEf559WEqTCJp1tQBuiF1jwFdZ2Ezo3,1,0.01
3KVaoi5FbV1pigL73VGvwhnhSxmWss7zeV,1,0.03
153SD3VZKcZmiCuNSX1NQ9nDRqGc9dd87P,1,0.06
1KcCyXdXkxyefBSLkM6FpbbZQkPj7NZEJH,1,0.0
17D4mnEUi7PNCwZprQRqfpkGT1GzfiCiXR,1,0.0
1Jya7tosVmTRB7MxsKLgeM7FTq2mRSqH3U,1,0.1
1DcPCnKqcJsV3unXnmYZdAZum3vfYQiGFK,1,0.04
12WhtP2BXRTrhRm3PhALTFWn8ToTfEmwNd,1,0.08
19qv8Zo616nr7bup1zihiAMk14UmphKHET,1,0.15
1C7gFJP8wKepL7pgSpzHSFWp33WNhMLu8D,1,0.0
1P2Z5aqK6Pp4HdG94vgUy5y2iHjwn31xhu,1,0.05
1PWncMsDEH36mTEmW6bRcWigmg2SpPnpo9,1,0.04
16p2wPtvqhQ7dCBDobT6uBErrdsgKDK9Zk,1,0.01
1NirJmrfBBRWjaXZu3Pz6d8D1sXRyccrDj,1,1.64
15FVgVS3eJ3tH3GtkkDjb7DrJoKX2Vsbdu,1,5.94
16GCimR65TWLEcbjCDFtdCZmNwHDUcVciT,1,0.5
17o3tHKZ1EznDR22WXLBVnJTm7rtXShLJY,1,0.02
12SBNb3ku3Z88p17yBen5d4VFUpYj6baGP,1,0.03
15V9mWzY4RovMHyNrjf2ERYTEtv3kPLZHK,1,0.89
3K4HPvaMfQ2b653o8Aa8m8pZn47EfbTfGo,1,0.01
154A2zvhZ7CiYBozfs4aLEzxF8Bw3ubhCS,1,0.01
34WfU7dAG8TQYbDeeUG5bZxSJiBS5fhyz5,1,0.09
15EABvBHMqmHyxVhPmPHJELv4SBGN2piyZ,1,0.29
1FkwCTuF42dyaAMY9zMqvh34nwgPR58MFe,1,0.02
1AJZyGNtVPpM3mJMA1sWUNp3ffPd1yKao,1,0.15
15QoFh8QKyF8q7mdysMPQvmMKuGKtFPj5k,1,0.11
1EjUHz32QZ7UP1LGnNxuENeD1pGhvFnJie,1,0.02
1LAMJveye6nStG1miSoHpw2qC7SnAcU3Gu,1,1.51
1PKimWZTFW3D9w47sUyNc3hRrFTjzWwixe,1,0.01
1CKPunR7U3nANn7aa5m8SYd2JwzZrLDXEs,1,0.2
167kB28LStJFx5Pngq3fnDQC4biWFXicz4,1,0.01
1MaGWbDTjtkDZvBnBR51qXoKjNiAVoRpKD,1,0.17
31wZLmBkJ2xsaBixT4VvSooxMTXEs6HbHB,1,1.0
1N3swidm7gRpYnvAtedAN3D8S3Hq1wtL3t,1,0.11
3DD5yDkquB69c8xyYMozWabm5Ac3oUFyWj,1,0.02
1KoCfJzrrHkSmaGVM9esRH5ahcTQhGNteo,1,0.0
1AXZs2QFayRHGmsA4sjp6Dt8chMLHRiMRJ,1,0.16
1JmxUm5qqNmz2WFdEJ3dKQD2wqA26V4QD3,1,0.02
3MxhLwV7v9eX4mxQo8w4nBonb8rq4a4Wca,1,6.14
1JteidwEgi6J4qPbWRyrzXLp9rSyESvD7Q,1,0.28
